tag_ident,Gender,Date,Hour,Distance,Season,month-day
1750,f,6/9/2011,19,186.7686652,Spring,9-Jun
1750,f,6/9/2011,20,1429.477311,Spring,9-Jun
1750,f,6/9/2011,21,1083.975653,Spring,9-Jun
1750,f,6/9/2011,22,996.8249254,Spring,9-Jun
1750,f,6/9/2011,23,72.04461963,Spring,9-Jun
1750,f,6/10/2011,0,167.3075034,Spring,10-Jun
1750,f,6/10/2011,1,206.4077939,Spring,10-Jun
1750,f,6/10/2011,2,789.306656,Spring,10-Jun
1750,f,6/10/2011,3,33.16159459,Spring,10-Jun
1750,f,6/10/2011,4,0.094396354,Spring,10-Jun
1750,f,6/10/2011,18,77.53772878,Spring,10-Jun
1750,f,6/10/2011,19,260.8604774,Spring,10-Jun
1750,f,6/10/2011,20,1040.245355,Spring,10-Jun
1750,f,6/10/2011,21,1516.849897,Spring,10-Jun
1750,f,6/10/2011,22,584.3949348,Spring,10-Jun
1750,f,6/10/2011,23,1057.600353,Spring,10-Jun
1750,f,6/11/2011,0,1243.629461,Spring,11-Jun
1750,f,6/11/2011,1,99.54661243,Spring,11-Jun
1750,f,6/11/2011,2,902.6212968,Spring,11-Jun
1750,f,6/11/2011,3,119.1678289,Spring,11-Jun
1750,f,6/11/2011,4,0.675191121,Spring,11-Jun
1750,f,6/11/2011,17,69.33868486,Spring,11-Jun
1750,f,6/11/2011,18,96.82359121,Spring,11-Jun
1750,f,6/11/2011,19,189.8919314,Spring,11-Jun
1750,f,6/11/2011,20,601.7605478,Spring,11-Jun
1750,f,6/11/2011,21,477.6307393,Spring,11-Jun
1750,f,6/11/2011,22,340.0428796,Spring,11-Jun
1750,f,6/11/2011,23,169.9502008,Spring,11-Jun
1750,f,6/12/2011,0,576.7276508,Spring,12-Jun
1750,f,6/12/2011,1,443.8685631,Spring,12-Jun
1750,f,6/12/2011,2,310.8846553,Spring,12-Jun
1750,f,6/12/2011,3,514.7769152,Spring,12-Jun
1750,f,6/12/2011,4,3.514132418,Spring,12-Jun
1750,f,6/12/2011,17,62.59009727,Spring,12-Jun
1750,f,6/12/2011,18,86.47661964,Spring,12-Jun
1750,f,6/12/2011,19,127.8706303,Spring,12-Jun
1750,f,6/12/2011,20,681.1465028,Spring,12-Jun
1750,f,6/12/2011,21,732.5342001,Spring,12-Jun
1750,f,6/12/2011,22,192.6575068,Spring,12-Jun
1750,f,6/12/2011,23,14.19788906,Spring,12-Jun
1750,f,6/13/2011,0,469.139785,Spring,13-Jun
1750,f,6/13/2011,1,39.01666608,Spring,13-Jun
1750,f,6/13/2011,2,80.9940824,Spring,13-Jun
1750,f,6/13/2011,3,47.11179877,Spring,13-Jun
1750,f,6/13/2011,4,0.466879053,Spring,13-Jun
1750,f,6/13/2011,17,200.1247278,Spring,13-Jun
1750,f,6/13/2011,18,162.8312012,Spring,13-Jun
1750,f,6/13/2011,19,308.5865923,Spring,13-Jun
1750,f,6/13/2011,20,34.0682562,Spring,13-Jun
1750,f,6/13/2011,21,165.9059478,Spring,13-Jun
1750,f,6/13/2011,22,49.38350274,Spring,13-Jun
1750,f,6/13/2011,23,30.38680999,Spring,13-Jun
1750,f,6/14/2011,0,38.95416165,Spring,14-Jun
1750,f,6/14/2011,1,87.31221957,Spring,14-Jun
1750,f,6/14/2011,2,8.743174123,Spring,14-Jun
1750,f,6/14/2011,3,307.926665,Spring,14-Jun
1750,f,6/14/2011,4,7.036269805,Spring,14-Jun
1750,f,6/14/2011,17,58.50824541,Spring,14-Jun
1750,f,6/14/2011,18,52.2187553,Spring,14-Jun
1750,f,6/14/2011,19,65.36748264,Spring,14-Jun
1750,f,6/14/2011,20,1068.466583,Spring,14-Jun
1750,f,6/14/2011,21,588.3055659,Spring,14-Jun
1750,f,6/14/2011,22,1081.57866,Spring,14-Jun
1750,f,6/14/2011,23,1208.263225,Spring,14-Jun
1750,f,6/15/2011,0,360.9178074,Spring,15-Jun
1750,f,6/15/2011,1,975.1005771,Spring,15-Jun
1750,f,6/15/2011,2,1358.938345,Spring,15-Jun
1750,f,6/15/2011,3,98.46476531,Spring,15-Jun
1750,f,6/15/2011,4,0.366332007,Spring,15-Jun
1750,f,6/15/2011,19,883.1879231,Spring,15-Jun
1750,f,6/15/2011,20,1684.934141,Spring,15-Jun
1750,f,6/15/2011,21,877.3937762,Spring,15-Jun
1750,f,6/15/2011,22,1012.297134,Spring,15-Jun
1750,f,6/15/2011,23,2581.114792,Spring,15-Jun
1750,f,6/16/2011,0,1559.550148,Spring,16-Jun
1750,f,6/16/2011,1,1313.079768,Spring,16-Jun
1750,f,6/16/2011,2,1309.526983,Spring,16-Jun
1750,f,6/16/2011,3,152.0582709,Spring,16-Jun
1750,f,6/16/2011,4,0.449984188,Spring,16-Jun
1750,f,6/16/2011,18,144.115375,Spring,16-Jun
1750,f,6/16/2011,19,560.7194546,Spring,16-Jun
1750,f,6/16/2011,20,469.6891131,Spring,16-Jun
1750,f,6/16/2011,21,78.82437145,Spring,16-Jun
1750,f,6/16/2011,22,313.802963,Spring,16-Jun
1750,f,6/16/2011,23,341.363105,Spring,16-Jun
1750,f,6/17/2011,0,826.1583447,Spring,17-Jun
